id,code,name,wilaya_id,wilaya_name,moughataa_id,moughataa_name,address,latitude,longitude,phone,email,opening_hours,status,tier,float_balance,max_float,license_number,license_expiry,created_at
48,NKC-S-006,Agence Nouakchott-Sud 6,3,Nouakchott-Sud,8,,"Rue 49, undefined",NaN,NaN,+22233744323,agence.nkcs006@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4913000,2000000,LIC-000048,2025-02-03,2022-06-03T08:45:16.969Z
13,NKC-N-013,Agence Nouakchott-Nord 13,1,Nouakchott-Nord,3,,"Rue 38, undefined",NaN,NaN,+22225318167,agence.nkcn013@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,2191000,2000000,LIC-000013,2027-09-19,2021-08-22T16:32:41.420Z
21,NKC-O-002,Agence Nouakchott-Ouest 2,2,Nouakchott-Ouest,6,,"Rue 97, undefined",NaN,NaN,+22225624796,agence.nkco002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,3340000,10000000,LIC-000021,2026-12-24,2022-06-20T19:25:12.015Z
31,NKC-O-012,Agence Nouakchott-Ouest 12,2,Nouakchott-Ouest,6,,"Rue 67, undefined",NaN,NaN,+22249833019,agence.nkco012@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,1890000,2000000,LIC-000031,2025-11-26,2023-11-08T15:13:12.534Z
11,NKC-N-011,Agence Nouakchott-Nord 11,1,Nouakchott-Nord,2,,"Rue 26, undefined",NaN,NaN,+22224885129,agence.nkcn011@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,2776000,2000000,LIC-000011,2027-08-07,2023-01-20T22:27:58.130Z
78,BRK-004,Agence Brakna 4,6,Brakna,17,,"Rue 69, undefined",NaN,NaN,+22236466640,agence.brk004@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,312000,5000000,LIC-000078,2025-11-10,2023-03-28T22:30:37.188Z
16,NKC-N-016,Agence Nouakchott-Nord 16,1,Nouakchott-Nord,1,,"Rue 68, undefined",NaN,NaN,+22232163261,agence.nkcn016@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,955000,2000000,LIC-000016,2025-02-24,2022-12-27T22:35:33.959Z
1,NKC-N-001,Agence Nouakchott-Nord 1,1,Nouakchott-Nord,2,,"Rue 52, undefined",NaN,NaN,+22236689433,agence.nkcn001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,340000,10000000,LIC-000001,2025-04-28,2022-11-03T21:34:40.639Z
28,NKC-O-009,Agence Nouakchott-Ouest 9,2,Nouakchott-Ouest,4,,"Rue 63, undefined",NaN,NaN,+22236861377,agence.nkco009@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4880000,2000000,LIC-000028,2026-11-05,2020-03-11T12:05:48.474Z
68,NDB-011,Agence Dakhlet Nouadhibou 11,4,Dakhlet Nouadhibou,10,,"Rue 36, undefined",NaN,NaN,+22233714321,agence.ndb011@nafadpay.mr,08:00-18:00,INACTIVE,BRONZE,792000,2000000,LIC-000068,2027-07-26,2021-02-04T00:58:00.556Z
65,NDB-008,Agence Dakhlet Nouadhibou 8,4,Dakhlet Nouadhibou,10,,"Rue 25, undefined",NaN,NaN,+22232298821,agence.ndb008@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,1713000,2000000,LIC-000065,2025-08-18,2020-11-22T20:56:04.140Z
2,NKC-N-002,Agence Nouakchott-Nord 2,1,Nouakchott-Nord,2,,"Rue 45, undefined",NaN,NaN,+22248839752,agence.nkcn002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,4224000,10000000,LIC-000002,2025-10-27,2023-03-22T02:57:55.544Z
71,TRZ-002,Agence Trarza 2,5,Trarza,14,,"Rue 28, undefined",NaN,NaN,+22237615997,agence.trz002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,2994000,10000000,LIC-000071,2025-01-21,2020-10-20T14:06:57.286Z
83,GDM-002,Agence Guidimaka 2,8,Guidimaka,27,,"Rue 16, undefined",NaN,NaN,+22225231106,agence.gdm002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,3520000,10000000,LIC-000083,2026-04-27,2023-04-08T20:56:10.447Z
58,NDB-001,Agence Dakhlet Nouadhibou 1,4,Dakhlet Nouadhibou,10,,"Rue 3, undefined",NaN,NaN,+22223977282,agence.ndb001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,573000,10000000,LIC-000058,2026-12-22,2022-03-29T16:20:24.888Z
25,NKC-O-006,Agence Nouakchott-Ouest 6,2,Nouakchott-Ouest,6,,"Rue 84, undefined",NaN,NaN,+22223249617,agence.nkco006@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,1330000,2000000,LIC-000025,2027-04-11,2023-06-17T20:45:04.617Z
40,NKC-O-021,Agence Nouakchott-Ouest 21,2,Nouakchott-Ouest,5,,"Rue 85, undefined",NaN,NaN,+22232201514,agence.nkco021@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4831000,2000000,LIC-000040,2026-03-13,2021-01-07T22:17:39.117Z
94,TGT-001,Agence Tagant 1,13,Tagant,49,,"Rue 47, undefined",NaN,NaN,+22225716838,agence.tgt001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,4306000,10000000,LIC-000094,2025-03-07,2023-11-16T17:30:12.204Z
86,ASB-003,Agence Assaba 3,9,Assaba,32,,"Rue 17, undefined",NaN,NaN,+22234792482,agence.asb003@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,4001000,5000000,LIC-000086,2027-11-08,2022-08-17T17:12:47.110Z
76,BRK-002,Agence Brakna 2,6,Brakna,17,,"Rue 75, undefined",NaN,NaN,+22223408714,agence.brk002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,2158000,10000000,LIC-000076,2026-10-02,2023-10-10T00:56:17.663Z
74,TRZ-005,Agence Trarza 5,5,Trarza,14,,"Rue 12, undefined",NaN,NaN,+22222582210,agence.trz005@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,4579000,5000000,LIC-000074,2026-12-14,2021-10-09T11:48:00.861Z
22,NKC-O-003,Agence Nouakchott-Ouest 3,2,Nouakchott-Ouest,5,,"Rue 92, undefined",NaN,NaN,+22224091646,agence.nkco003@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,3342000,5000000,LIC-000022,2026-09-16,2020-10-21T13:49:13.566Z
35,NKC-O-016,Agence Nouakchott-Ouest 16,2,Nouakchott-Ouest,4,,"Rue 83, undefined",NaN,NaN,+22225422697,agence.nkco016@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3791000,2000000,LIC-000035,2027-04-26,2023-04-23T15:43:20.697Z
8,NKC-N-008,Agence Nouakchott-Nord 8,1,Nouakchott-Nord,1,,"Rue 58, undefined",NaN,NaN,+22232953352,agence.nkcn008@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,711000,2000000,LIC-000008,2025-10-19,2021-11-10T14:03:55.945Z
47,NKC-S-005,Agence Nouakchott-Sud 5,3,Nouakchott-Sud,7,,"Rue 3, undefined",NaN,NaN,+22222634486,agence.nkcs005@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,2831000,5000000,LIC-000047,2025-02-14,2023-12-20T19:17:14.853Z
19,NKC-N-019,Agence Nouakchott-Nord 19,1,Nouakchott-Nord,3,,"Rue 96, undefined",NaN,NaN,+22224704922,agence.nkcn019@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,424000,2000000,LIC-000019,2026-04-10,2020-10-13T00:14:45.928Z
30,NKC-O-011,Agence Nouakchott-Ouest 11,2,Nouakchott-Ouest,6,,"Rue 71, undefined",NaN,NaN,+22222645160,agence.nkco011@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3426000,2000000,LIC-000030,2027-11-04,2021-08-29T02:05:47.448Z
88,HCH-002,Agence Hodh Ech Chargui 2,10,Hodh Ech Chargui,38,,"Rue 27, undefined",NaN,NaN,+22233929623,agence.hch002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,276000,10000000,LIC-000088,2027-01-27,2021-04-10T00:57:48.498Z
18,NKC-N-018,Agence Nouakchott-Nord 18,1,Nouakchott-Nord,3,,"Rue 17, undefined",NaN,NaN,+22223721679,agence.nkcn018@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4277000,2000000,LIC-000018,2026-11-04,2022-10-18T06:49:56.056Z
37,NKC-O-018,Agence Nouakchott-Ouest 18,2,Nouakchott-Ouest,5,,"Rue 77, undefined",NaN,NaN,+22224846764,agence.nkco018@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,288000,2000000,LIC-000037,2025-01-26,2023-01-08T15:12:20.354Z
99,TYS-004,Agence Tiris Zemmour 4,15,Tiris Zemmour,53,,"Rue 56, undefined",NaN,NaN,+22224050662,agence.tys004@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,2723000,5000000,LIC-000099,2027-05-22,2021-03-30T12:21:52.702Z
5,NKC-N-005,Agence Nouakchott-Nord 5,1,Nouakchott-Nord,1,,"Rue 62, undefined",NaN,NaN,+22236607900,agence.nkcn005@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,1420000,5000000,LIC-000005,2025-11-28,2020-12-15T09:42:27.867Z
20,NKC-O-001,Agence Nouakchott-Ouest 1,2,Nouakchott-Ouest,4,,"Rue 46, undefined",NaN,NaN,+22222463621,agence.nkco001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,3270000,10000000,LIC-000020,2027-10-02,2023-06-11T10:47:46.472Z
7,NKC-N-007,Agence Nouakchott-Nord 7,1,Nouakchott-Nord,3,,"Rue 76, undefined",NaN,NaN,+22224529847,agence.nkcn007@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,2483000,2000000,LIC-000007,2026-03-01,2021-04-26T02:26:57.112Z
24,NKC-O-005,Agence Nouakchott-Ouest 5,2,Nouakchott-Ouest,4,,"Rue 35, undefined",NaN,NaN,+22237325969,agence.nkco005@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,2129000,5000000,LIC-000024,2025-01-12,2021-01-14T13:28:30.820Z
